event_name	tweet_id	image	tweet_text	label	label_top
mexico_earthquake	1234567900	data_image\sample_img_10.png	Flooded streets and damaged buildings in the downtown area. Heavy infrastructure damage seen. #disaster #mexico_earthquake [ID: 100010]	informative	infrastructure_and_utility_damage
mexico_earthquake	1234567907	data_image\sample_img_17.png	Please donate blankets and canned food at the school gym. Every little bit helps! #disaster #mexico_earthquake [ID: 100017]	informative	rescue_volunteering_or_donation_effort
mexico_earthquake	1234567909	data_image\sample_img_19.png	Power lines are down across the entire neighborhood. No electricity for 24 hours. #disaster #mexico_earthquake [ID: 100019]	informative	infrastructure_and_utility_damage
california_wildfires	1234568019	data_image\sample_img_129.png	A map of the affected zones and safe evacuation routes released by the city council. #disaster #california_wildfires [ID: 100129]	informative	other_relevant_information
mexico_earthquake	1234567966	data_image\sample_img_76.png	Road is completely blocked by a major landslide. Highway 101 is closed. #disaster #mexico_earthquake [ID: 100076]	informative	infrastructure_and_utility_damage
nepal_earthquake	1234567891	data_image\sample_img_1.png	Looking for missing relatives after the storm. Last seen near the harbor. #disaster #nepal_earthquake [ID: 100001]	informative	affected_individuals
california_wildfires	1234568041	data_image\sample_img_151.png	Updates on the wildfire containment: firefighters have contained 30% of the blaze. #disaster #california_wildfires [ID: 100151]	informative	other_relevant_information
nepal_earthquake	1234568043	data_image\sample_img_153.png	We have two casualties and several injured people in the local area. Send medical assistance. #disaster #nepal_earthquake [ID: 100153]	informative	injured_or_dead
mexico_earthquake	1234567893	data_image\sample_img_3.png	Multiple casualties reported after the earthquake hit. Rescue teams are on their way. #disaster #mexico_earthquake [ID: 100003]	informative	injured_or_dead
nepal_earthquake	1234567974	data_image\sample_img_84.png	Rescue teams are active in the flood zone, helping stranded residents get to safety. #disaster #nepal_earthquake [ID: 100084]	informative	rescue_volunteering_or_donation_effort
california_wildfires	1234568061	data_image\sample_img_171.png	Rescue teams are active in the flood zone, helping stranded residents get to safety. #disaster #california_wildfires [ID: 100171]	informative	rescue_volunteering_or_donation_effort
california_wildfires	1234567998	data_image\sample_img_108.png	Looking for missing relatives after the storm. Last seen near the harbor. #disaster #california_wildfires [ID: 100108]	informative	affected_individuals
hurricane_harvey	1234568069	data_image\sample_img_179.png	We have two casualties and several injured people in the local area. Send medical assistance. #disaster #hurricane_harvey [ID: 100179]	informative	injured_or_dead
california_wildfires	1234568011	data_image\sample_img_121.png	Volunteers needed to help distribute food and clean water at the city center shelter. #disaster #california_wildfires [ID: 100121]	informative	rescue_volunteering_or_donation_effort
california_wildfires	1234567890	data_image\sample_img_0.png	Rescue teams are active in the flood zone, helping stranded residents get to safety. #disaster #california_wildfires [ID: 100000]	informative	rescue_volunteering_or_donation_effort
hurricane_harvey	1234568066	data_image\sample_img_176.png	We have two casualties and several injured people in the local area. Send medical assistance. #disaster #hurricane_harvey [ID: 100176]	informative	injured_or_dead
hurricane_harvey	1234567982	data_image\sample_img_92.png	A map of the affected zones and safe evacuation routes released by the city council. #disaster #hurricane_harvey [ID: 100092]	informative	other_relevant_information
mexico_earthquake	1234568013	data_image\sample_img_123.png	Sharing a meme to keep our spirits up during this difficult time. Stay strong! #disaster #mexico_earthquake [ID: 100123]	not_informative	not_humanitarian
california_wildfires	1234567897	data_image\sample_img_7.png	Road is completely blocked by a major landslide. Highway 101 is closed. #disaster #california_wildfires [ID: 100007]	informative	infrastructure_and_utility_damage
nepal_earthquake	1234568001	data_image\sample_img_111.png	A map of the affected zones and safe evacuation routes released by the city council. #disaster #nepal_earthquake [ID: 100111]	informative	other_relevant_information
california_wildfires	1234568025	data_image\sample_img_135.png	Road is completely blocked by a major landslide. Highway 101 is closed. #disaster #california_wildfires [ID: 100135]	informative	infrastructure_and_utility_damage
california_wildfires	1234568064	data_image\sample_img_174.png	Here is the emergency hotline number for local residents: 1-800-555-0199. #disaster #california_wildfires [ID: 100174]	informative	other_relevant_information
california_wildfires	1234567920	data_image\sample_img_30.png	We have two casualties and several injured people in the local area. Send medical assistance. #disaster #california_wildfires [ID: 100030]	informative	injured_or_dead
nepal_earthquake	1234567906	data_image\sample_img_16.png	I can't believe how crazy the weather is. Just staying at home playing games. #disaster #nepal_earthquake [ID: 100016]	not_informative	not_humanitarian
mexico_earthquake	1234568057	data_image\sample_img_167.png	Emergency! 3 people are seriously injured under the collapsed building on Main St. Help needed! #disaster #mexico_earthquake [ID: 100167]	informative	injured_or_dead
nepal_earthquake	1234568042	data_image\sample_img_152.png	Volunteers needed to help distribute food and clean water at the city center shelter. #disaster #nepal_earthquake [ID: 100152]	informative	rescue_volunteering_or_donation_effort
hurricane_harvey	1234567992	data_image\sample_img_102.png	Here is the emergency hotline number for local residents: 1-800-555-0199. #disaster #hurricane_harvey [ID: 100102]	informative	other_relevant_information
nepal_earthquake	1234567952	data_image\sample_img_62.png	We have two casualties and several injured people in the local area. Send medical assistance. #disaster #nepal_earthquake [ID: 100062]	informative	injured_or_dead
hurricane_harvey	1234568030	data_image\sample_img_140.png	Sharing a meme to keep our spirits up during this difficult time. Stay strong! #disaster #hurricane_harvey [ID: 100140]	not_informative	not_humanitarian
nepal_earthquake	1234567968	data_image\sample_img_78.png	Road is completely blocked by a major landslide. Highway 101 is closed. #disaster #nepal_earthquake [ID: 100078]	informative	infrastructure_and_utility_damage
nepal_earthquake	1234568052	data_image\sample_img_162.png	Sharing a meme to keep our spirits up during this difficult time. Stay strong! #disaster #nepal_earthquake [ID: 100162]	not_informative	not_humanitarian
hurricane_harvey	1234568017	data_image\sample_img_127.png	Look at this beautiful sunset before the storm hit. Nature is so unpredictable. #disaster #hurricane_harvey [ID: 100127]	not_informative	not_humanitarian
hurricane_harvey	1234567933	data_image\sample_img_43.png	A map of the affected zones and safe evacuation routes released by the city council. #disaster #hurricane_harvey [ID: 100043]	informative	other_relevant_information
california_wildfires	1234568003	data_image\sample_img_113.png	So many families are displaced and sleeping in their cars. The situation is desperate. #disaster #california_wildfires [ID: 100113]	informative	affected_individuals
hurricane_harvey	1234567918	data_image\sample_img_28.png	We have two casualties and several injured people in the local area. Send medical assistance. #disaster #hurricane_harvey [ID: 100028]	informative	injured_or_dead
california_wildfires	1234567961	data_image\sample_img_71.png	So many families are displaced and sleeping in their cars. The situation is desperate. #disaster #california_wildfires [ID: 100071]	informative	affected_individuals
nepal_earthquake	1234567951	data_image\sample_img_61.png	Updates on the wildfire containment: firefighters have contained 30% of the blaze. #disaster #nepal_earthquake [ID: 100061]	informative	other_relevant_information
hurricane_harvey	1234567908	data_image\sample_img_18.png	Look at this beautiful sunset before the storm hit. Nature is so unpredictable. #disaster #hurricane_harvey [ID: 100018]	not_informative	not_humanitarian
california_wildfires	1234568065	data_image\sample_img_175.png	Multiple casualties reported after the earthquake hit. Rescue teams are on their way. #disaster #california_wildfires [ID: 100175]	informative	injured_or_dead
nepal_earthquake	1234568089	data_image\sample_img_199.png	Volunteers needed to help distribute food and clean water at the city center shelter. #disaster #nepal_earthquake [ID: 100199]	informative	rescue_volunteering_or_donation_effort
mexico_earthquake	1234567945	data_image\sample_img_55.png	Multiple casualties reported after the earthquake hit. Rescue teams are on their way. #disaster #mexico_earthquake [ID: 100055]	informative	injured_or_dead
mexico_earthquake	1234567956	data_image\sample_img_66.png	Check out these news reports about the disaster on TV right now. #disaster #mexico_earthquake [ID: 100066]	not_informative	not_humanitarian
nepal_earthquake	1234567988	data_image\sample_img_98.png	I can't believe how crazy the weather is. Just staying at home playing games. #disaster #nepal_earthquake [ID: 100098]	not_informative	not_humanitarian
mexico_earthquake	1234567946	data_image\sample_img_56.png	Volunteers needed to help distribute food and clean water at the city center shelter. #disaster #mexico_earthquake [ID: 100056]	informative	rescue_volunteering_or_donation_effort
hurricane_harvey	1234568037	data_image\sample_img_147.png	Sharing a meme to keep our spirits up during this difficult time. Stay strong! #disaster #hurricane_harvey [ID: 100147]	not_informative	not_humanitarian
california_wildfires	1234567930	data_image\sample_img_40.png	Rescue teams are active in the flood zone, helping stranded residents get to safety. #disaster #california_wildfires [ID: 100040]	informative	rescue_volunteering_or_donation_effort
mexico_earthquake	1234567987	data_image\sample_img_97.png	Please donate blankets and canned food at the school gym. Every little bit helps! #disaster #mexico_earthquake [ID: 100097]	informative	rescue_volunteering_or_donation_effort
hurricane_harvey	1234567937	data_image\sample_img_47.png	Road is completely blocked by a major landslide. Highway 101 is closed. #disaster #hurricane_harvey [ID: 100047]	informative	infrastructure_and_utility_damage
nepal_earthquake	1234567895	data_image\sample_img_5.png	A map of the affected zones and safe evacuation routes released by the city council. #disaster #nepal_earthquake [ID: 100005]	informative	other_relevant_information
hurricane_harvey	1234567975	data_image\sample_img_85.png	Please donate blankets and canned food at the school gym. Every little bit helps! #disaster #hurricane_harvey [ID: 100085]	informative	rescue_volunteering_or_donation_effort
mexico_earthquake	1234568034	data_image\sample_img_144.png	Tragic news: 5 people confirmed dead in the flooding. Please pray for the families. #disaster #mexico_earthquake [ID: 100144]	informative	injured_or_dead
mexico_earthquake	1234568073	data_image\sample_img_183.png	Updates on the wildfire containment: firefighters have contained 30% of the blaze. #disaster #mexico_earthquake [ID: 100183]	informative	other_relevant_information
california_wildfires	1234567971	data_image\sample_img_81.png	Looking for missing relatives after the storm. Last seen near the harbor. #disaster #california_wildfires [ID: 100081]	informative	affected_individuals
mexico_earthquake	1234567979	data_image\sample_img_89.png	Here is the emergency hotline number for local residents: 1-800-555-0199. #disaster #mexico_earthquake [ID: 100089]	informative	other_relevant_information
california_wildfires	1234567953	data_image\sample_img_63.png	Sharing a meme to keep our spirits up during this difficult time. Stay strong! #disaster #california_wildfires [ID: 100063]	not_informative	not_humanitarian
hurricane_harvey	1234567911	data_image\sample_img_21.png	Our family has lost everything in the fire. We are looking for shelter tonight. #disaster #hurricane_harvey [ID: 100021]	informative	affected_individuals
california_wildfires	1234567996	data_image\sample_img_106.png	Volunteers needed to help distribute food and clean water at the city center shelter. #disaster #california_wildfires [ID: 100106]	informative	rescue_volunteering_or_donation_effort
mexico_earthquake	1234567986	data_image\sample_img_96.png	Power lines are down across the entire neighborhood. No electricity for 24 hours. #disaster #mexico_earthquake [ID: 100096]	informative	infrastructure_and_utility_damage
nepal_earthquake	1234567928	data_image\sample_img_38.png	Our family has lost everything in the fire. We are looking for shelter tonight. #disaster #nepal_earthquake [ID: 100038]	informative	affected_individuals
california_wildfires	1234568055	data_image\sample_img_165.png	Weather update: Hurricane Harvey has made landfall. Stay indoors and stay safe. #disaster #california_wildfires [ID: 100165]	informative	other_relevant_information
nepal_earthquake	1234567935	data_image\sample_img_45.png	A map of the affected zones and safe evacuation routes released by the city council. #disaster #nepal_earthquake [ID: 100045]	informative	other_relevant_information
california_wildfires	1234567957	data_image\sample_img_67.png	Weather update: Hurricane Harvey has made landfall. Stay indoors and stay safe. #disaster #california_wildfires [ID: 100067]	informative	other_relevant_information
california_wildfires	1234567984	data_image\sample_img_94.png	The main bridge over the river has collapsed due to high water levels. Avoid the area! #disaster #california_wildfires [ID: 100094]	informative	infrastructure_and_utility_damage
nepal_earthquake	1234567948	data_image\sample_img_58.png	We have two casualties and several injured people in the local area. Send medical assistance. #disaster #nepal_earthquake [ID: 100058]	informative	injured_or_dead
nepal_earthquake	1234568032	data_image\sample_img_142.png	Weather update: Hurricane Harvey has made landfall. Stay indoors and stay safe. #disaster #nepal_earthquake [ID: 100142]	informative	other_relevant_information
california_wildfires	1234567985	data_image\sample_img_95.png	Red Cross is looking for volunteers to assist with relief distribution starting tomorrow morning. #disaster #california_wildfires [ID: 100095]	informative	rescue_volunteering_or_donation_effort
nepal_earthquake	1234567899	data_image\sample_img_9.png	Our family has lost everything in the fire. We are looking for shelter tonight. #disaster #nepal_earthquake [ID: 100009]	informative	affected_individuals
mexico_earthquake	1234567973	data_image\sample_img_83.png	Sharing a meme to keep our spirits up during this difficult time. Stay strong! #disaster #mexico_earthquake [ID: 100083]	not_informative	not_humanitarian
california_wildfires	1234568077	data_image\sample_img_187.png	Check out these news reports about the disaster on TV right now. #disaster #california_wildfires [ID: 100187]	not_informative	not_humanitarian
mexico_earthquake	1234568068	data_image\sample_img_178.png	Tragic news: 5 people confirmed dead in the flooding. Please pray for the families. #disaster #mexico_earthquake [ID: 100178]	informative	injured_or_dead
hurricane_harvey	1234567955	data_image\sample_img_65.png	Please donate blankets and canned food at the school gym. Every little bit helps! #disaster #hurricane_harvey [ID: 100065]	informative	rescue_volunteering_or_donation_effort
hurricane_harvey	1234567926	data_image\sample_img_36.png	I can't believe how crazy the weather is. Just staying at home playing games. #disaster #hurricane_harvey [ID: 100036]	not_informative	not_humanitarian
nepal_earthquake	1234567904	data_image\sample_img_14.png	Power lines are down across the entire neighborhood. No electricity for 24 hours. #disaster #nepal_earthquake [ID: 100014]	informative	infrastructure_and_utility_damage
nepal_earthquake	1234568048	data_image\sample_img_158.png	Weather update: Hurricane Harvey has made landfall. Stay indoors and stay safe. #disaster #nepal_earthquake [ID: 100158]	informative	other_relevant_information
nepal_earthquake	1234568002	data_image\sample_img_112.png	Check out these news reports about the disaster on TV right now. #disaster #nepal_earthquake [ID: 100112]	not_informative	not_humanitarian
hurricane_harvey	1234568015	data_image\sample_img_125.png	Here is the emergency hotline number for local residents: 1-800-555-0199. #disaster #hurricane_harvey [ID: 100125]	informative	other_relevant_information
california_wildfires	1234568063	data_image\sample_img_173.png	We have two casualties and several injured people in the local area. Send medical assistance. #disaster #california_wildfires [ID: 100173]	informative	injured_or_dead
california_wildfires	1234568085	data_image\sample_img_195.png	Looking for missing relatives after the storm. Last seen near the harbor. #disaster #california_wildfires [ID: 100195]	informative	affected_individuals
california_wildfires	1234568038	data_image\sample_img_148.png	Emergency! 3 people are seriously injured under the collapsed building on Main St. Help needed! #disaster #california_wildfires [ID: 100148]	informative	injured_or_dead
nepal_earthquake	1234567916	data_image\sample_img_26.png	Flooded streets and damaged buildings in the downtown area. Heavy infrastructure damage seen. #disaster #nepal_earthquake [ID: 100026]	informative	infrastructure_and_utility_damage
nepal_earthquake	1234567913	data_image\sample_img_23.png	We have two casualties and several injured people in the local area. Send medical assistance. #disaster #nepal_earthquake [ID: 100023]	informative	injured_or_dead
california_wildfires	1234567965	data_image\sample_img_75.png	People are stranded on their rooftops waiting for the flood waters to recede. #disaster #california_wildfires [ID: 100075]	informative	affected_individuals
california_wildfires	1234568084	data_image\sample_img_194.png	Road is completely blocked by a major landslide. Highway 101 is closed. #disaster #california_wildfires [ID: 100194]	informative	infrastructure_and_utility_damage
nepal_earthquake	1234568014	data_image\sample_img_124.png	Rescue teams are active in the flood zone, helping stranded residents get to safety. #disaster #nepal_earthquake [ID: 100124]	informative	rescue_volunteering_or_donation_effort
california_wildfires	1234568058	data_image\sample_img_168.png	Please donate blankets and canned food at the school gym. Every little bit helps! #disaster #california_wildfires [ID: 100168]	informative	rescue_volunteering_or_donation_effort
california_wildfires	1234567993	data_image\sample_img_103.png	Our family has lost everything in the fire. We are looking for shelter tonight. #disaster #california_wildfires [ID: 100103]	informative	affected_individuals
mexico_earthquake	1234567944	data_image\sample_img_54.png	Red Cross is looking for volunteers to assist with relief distribution starting tomorrow morning. #disaster #mexico_earthquake [ID: 100054]	informative	rescue_volunteering_or_donation_effort
mexico_earthquake	1234567924	data_image\sample_img_34.png	Sharing a meme to keep our spirits up during this difficult time. Stay strong! #disaster #mexico_earthquake [ID: 100034]	not_informative	not_humanitarian
mexico_earthquake	1234568076	data_image\sample_img_186.png	Red Cross is looking for volunteers to assist with relief distribution starting tomorrow morning. #disaster #mexico_earthquake [ID: 100186]	informative	rescue_volunteering_or_donation_effort
hurricane_harvey	1234567939	data_image\sample_img_49.png	Red Cross is looking for volunteers to assist with relief distribution starting tomorrow morning. #disaster #hurricane_harvey [ID: 100049]	informative	rescue_volunteering_or_donation_effort
hurricane_harvey	1234567999	data_image\sample_img_109.png	Check out these news reports about the disaster on TV right now. #disaster #hurricane_harvey [ID: 100109]	not_informative	not_humanitarian
california_wildfires	1234567980	data_image\sample_img_90.png	Look at this beautiful sunset before the storm hit. Nature is so unpredictable. #disaster #california_wildfires [ID: 100090]	not_informative	not_humanitarian
nepal_earthquake	1234567903	data_image\sample_img_13.png	Here is the emergency hotline number for local residents: 1-800-555-0199. #disaster #nepal_earthquake [ID: 100013]	informative	other_relevant_information
nepal_earthquake	1234568033	data_image\sample_img_143.png	We have two casualties and several injured people in the local area. Send medical assistance. #disaster #nepal_earthquake [ID: 100143]	informative	injured_or_dead
california_wildfires	1234567938	data_image\sample_img_48.png	Here is the emergency hotline number for local residents: 1-800-555-0199. #disaster #california_wildfires [ID: 100048]	informative	other_relevant_information
